model_name,engine_type,engine_power,max_speed,cruise_speed,stall_speed,fuel_tank,all_eng_roc,out_eng_roc,takeoff_distance,landing_distance,empty_weight,length,wing_span,range,price
E 33 A Bonanza (conventional tail),Piston,325,261,232,78,166,1475,2643,2427,6200,3788,359,454,1013,2500000
100 Darter (S.L. Industries),Piston,310,250,214,79,166,1461,2376,2498,6100,3780,358,454,1130,2500000
C 33 A Debonair,Piston,300,208,195,74,136,1750,2371,2498,5500,3443,358,454,1109,2068800
100 Darter (S.L. Industries),Piston,285,208,195,74,136,1660,2101,2498,5400,3361,358,454,1109,1860000
"A,B 33 Debonair",Piston,380,252,247,73,142,2020,1420,2080,5990,3700,348,454,737,3220000
100 Darter (S.L. Industries),Piston,380,252,247,73,142,2020,1420,2080,5990,3650,339,454,737,3220000
"C-24R Sierra 200 (prior'78 svc. ceil=16,400)",Piston,285,208,195,73,100,1682,968,1414,5300,3291,348,454,934,1910000
100 Darter (S.L. Industries),Piston,285,210,200,67,112,1670,968,1414,5300,3075,339,454,550,2090000
A-24R Sierra 200,Piston,260,201,184,73,100,1693,2154,2148,5100,3236,336,454,739,1930000
100 Darter (S.L. Industries),Piston,260,205,196,68,112,1670,1225,1370,5100,3075,324,454,763,1970000
C 23 Sundowner (pre '76 fuel=52 gal) pre'82=less mph,Piston,260,200,191,66,112,1700,1700,1470,4880,2960,317,452,745,1950000
100 Darter (S.L. Industries),Piston,260,200,191,66,112,1630,1700,1470,4880,2960,307,452,745,1920000
"A 23, A23A Musketeer (A=2,400 lb gross)",Piston,180,183,174,61,80,1250,1280,1590,4200,2650,301,445,661,1810000
100 Darter (S.L. Industries),Piston,180,183,174,61,80,1250,2100,1850,4200,2635,303,445,661,1810000
B 19 Sport 150 (76' & prior fuel=52 gal),Piston,180,183,170,61,80,1250,2100,1850,4100,2635,303,453,661,1810000
100 Darter (S.L. Industries),Piston,180,171,158,60,100,1248,2119,1881,3900,2460,348,456,843,1965000
77 Skipper ('79-'80 height=7/11),Piston,300,213,190,57,102,1049,2364,1692,3850,2338,330,454,957,2500000
"17-31 ATC Turbo, 300-Lyc. (prior '78=8 gal less)",Piston,300,214,190,57,74,1165,2012,1449,3650,2278,330,402,800,2500000
